LSOAcode2011,LSOAname2011,LocalAuthorityDistrictcode2013,LocalAuthorityDistrictname2013,IncomeScoreexponentiallytransformed,EmploymentScoreexponentiallytransformed,EducationSkillsandTrainingScoreexponentiallytransformed,HealthDeprivationandDisabilityScoreexponentiallytransformed,CrimeScoreexponentiallytransformed,BarrierstoHousingandServicesScoreexponentiallytransformed,LivingEnvironmentScoreexponentiallytransformed,IMD,V13,fat,saturate,salt,sugar,protein,carb,fibre,alcohol,V22,energy_fat,energy_saturate,energy_sugar,energy_protein,energy_carb,energy_fibre,energy_alcohol,V30,FAC1_1,FAC2_1,FAC3_1
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,59.541,51.429,33.405,25.19,29.984,65.316,23.186,288.051, ,9.02245087497584,3.6911668344512,.635081340308825,11.0416455115978,5.09088461456088,19.6578208066477,1.54602930151871,.161259045130335, ,81.2020578747815,33.2205015100572,44.1665820463913,20.3635384582435,78.631283226591,2.83935056868084,1.12881331591234, ,.608029869770188,.0599216297251194,.0526462432251738
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,37.36,29.829,32.177,24.08,50.785,41.088,26.796,242.115, ,8.9224863436447,3.62372003548123,.671716524559153,10.3855350556226,5.27480097571799,19.003585578593,1.56656613815279,.164062577706323, ,80.3023770927987,32.6134803193249,41.5421402224904,21.0992039028719,76.014342314372,2.94524041837598,1.14843804394426, ,.197521306596468,.748577618161226,-.0103300198914428
E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,29.776,20.056,22.451,13.885,82.146,40.158,38.474,246.946, ,9.04159085133359,3.57356325092939,.664865292811879,10.0624421855137,5.32833577276297,18.2993455358434,1.48535730944307,.317410602512346, ,81.3743176620063,32.1620692583539,40.2497687420548,21.3133430910518,73.1973821433736,2.76089685233149,2.2218742175864, ,-.280297822397789,.698402331302988,1.18583197639098
E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham,43.127,29.842,26.912,22.497,69.881,44.482,44.863,281.604, ,9.33639346934977,3.70849338550449,.66593022731504,10.2897419414943,5.55113215017691,18.935517980249,1.57808622135272,.200398340087571, ,84.027541224145,33.3764404695367,41.1589677659772,22.2045286007076,75.7420719209961,2.94844559344142,1.402788380613, ,.32652098079862,1.31194926927819,.356017952539518
E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham,36.405,29.07,31.35,20.702,23.214,51.932,25.066,217.739, ,8.67528517464448,3.37401298835759,.570263952652002,10.6056166106078,4.97618421733492,17.4787109961183,1.4745676584735,.172808796119016, ,78.0775665717936,30.3661168952155,42.4224664424314,19.9047368693397,69.9148439844735,2.76497386804661,1.20966157283311, ,-.284528494337731,-.990425189532624,.25668970698113
E01000048,Barking and Dagenham 021B,E09000002,Barking and Dagenham,70.113,54.667,25.733,39.177,22.788,89.433,21.538,323.449, ,7.86732732346033,2.83689263790489,.515751732131405,9.80524490233982,4.99983000643909,18.7781433784071,1.56525477570291,.267068306074262, ,70.8059459111389,25.5320337411485,39.2209796093593,19.9993200257563,75.1125735136285,2.91213307576731,1.86947814251983, ,-1.35710345029368,-1.62864764073386,-1.02484192296353
E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham,51.019,34.42,28.661,27.781,38.988,92.306,24.9,298.075, ,9.47881766659203,3.64358559908167,.581458152198326,11.2648301999846,5.40619404289324,20.7875587346751,1.59636656430227,.133897743489875, ,85.3093589993212,32.7922703917318,45.0593207999385,21.6247761715729,83.1502349387004,2.90724140513819,.937284204429132, ,1.00179663752216,.236555730948398,-.490813335332107
E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham,32.522,26.528,25.71,29.872,61.072,53.999,45.609,275.312, ,8.7261079196713,3.5091784160662,.593515926047332,9.46762213217361,5.22134467552564,18.2664468744407,1.61381115547345,.269049315297057, ,78.534971277034,31.5826057445946,37.8704885286944,20.8853787021025,73.0657874977629,3.02702639890352,1.88334520707943, ,-.500321233140818,.0384119337000739,.159979663540795
E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham,56.422,40.505,29.703,29.036,30.459,81.756,27.147,295.028, ,8.6816734214391,3.29239001468416,.614031277533057,10.9504046989721,4.94370337738618,20.5646510034265,1.55831815956925,.1201915340186, ,78.1350607929528,29.631510132158,43.8016187958885,19.7748135095447,82.258604013706,2.85269114047966,.841340738130201, ,.280040199180665,-.568676619170951,-1.01548236896138
E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham,34.809,24.92,28.531,21.443,40.837,50.361,31.466,232.367, ,8.59745734583189,3.37961369562104,.610077641277164,9.79446264830742,5.14516053903604,17.7966444997801,1.51446521165965,.272875413358724, ,77.3771161124942,30.4165232605758,39.1778505932297,20.5806421561441,71.1865779991204,2.80442566280946,1.91012789351106, ,-.68732464975748,-.211879433021388,.498095788246105
