gtin,category
5.10E+12,fruit_veg
5.10E+12,fruit_veg
5.10E+12,fruit_veg
5.05E+12,fruit_veg
3011331,fruit_veg
3011171,fruit_veg
3011270,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
50191611,fruit_veg
5.05E+12,fruit_veg
5.01E+12,fruit_veg
50700912,fruit_veg
3011188,fruit_veg
3011164,fruit_veg
3011478,fruit_veg
3011454,fruit_veg
3011157,fruit_veg
3011195,fruit_veg
8.89E+12,fruit_veg
5.01E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.01E+12,fruit_veg
50866533,fruit_veg
50980604,fruit_veg
50866519,fruit_veg
5.01E+12,fruit_veg
50980635,fruit_veg
50866540,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.03E+12,fruit_veg
5.03E+12,fruit_veg
5.00E+12,fruit_veg
50019762,fruit_veg
50225255,fruit_veg
5.00E+12,fruit_veg
50191697,fruit_veg
5.00E+12,fruit_veg
50019878,fruit_veg
50019885,fruit_veg
5.00E+12,fruit_veg
50019908,fruit_veg
5.06E+12,fruit_veg
5.06E+12,fruit_veg
5.06E+12,fruit_veg
5.06E+12,fruit_veg
5.06E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
50191413,fruit_veg
3012567,sauces
5.00E+12,sauces
5.00E+12,sauces
5.01E+12,sauces
5.04E+12,sauces
5.05E+12,sauces
5.00E+12,sauces
5.05E+12,sauces
5.06E+12,sauces
5.01E+12,sauces
5.04E+12,sauces
5.01E+12,sauces
5.01E+12,sauces
5.01E+12,sauces
5.05E+12,sauces
5.01E+12,sauces
5.04E+12,sauces
5.02E+12,sauces
5.01E+12,sauces
5.00E+12,sauces
5.01E+12,sauces
5.01E+12,sauces
5.02E+12,sauces
5.05E+12,sauces
5.05E+12,sauces
5.00E+12,sauces
5.01E+12,sauces
5.00E+12,sauces
5.01E+12,sauces
5.01E+12,sauces
5.00E+12,sauces
5.04E+12,sauces
5.04E+12,sauces
5.05E+12,sauces
5.01E+12,sauces
5.01E+12,sauces
5.01E+12,sauces
5.01E+12,sauces
5.05E+12,sauces
5.00E+12,sauces
5.05E+12,sauces
5.01E+12,sauces
5.01E+12,sauces
5.01E+12,sauces
5.02E+12,sauces
5.01E+12,sauces
5.06E+12,sauces
5.06E+12,sauces
5.00E+12,sauces
5.05E+12,sauces
5.05E+12,sauces
5.05E+12,sauces
5.01E+12,sauces
5.01E+12,sauces
5.01E+12,sauces
5.01E+12,sauces
5.00E+12,sauces
5.02E+12,sauces
5.05E+12,sauces
5.01E+12,sauces
5.00E+12,sauces
5.02E+12,sauces
5.04E+12,sauces
5.04E+12,sauces
3013540,fats_oils
50102259,fats_oils
50102747,fats_oils
50102754,fats_oils
50232208,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
50102310,fats_oils
96096574,fats_oils
96096581,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
50102730,fats_oils
50967513,fats_oils
50102372,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
3016671,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
3013588,fats_oils
5.00E+12,fats_oils
50102334,fats_oils
50102228,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
3014103,grains
5.00E+12,grains
5.01E+12,grains
5.05E+12,grains
5.05E+12,grains
5.10E+12,grains
5.06E+12,grains
5.10E+12,grains
5.05E+12,grains
5.02E+12,grains
5.10E+12,grains
5.00E+12,grains
5.39E+12,grains
5.05E+12,grains
5.06E+12,grains
5.00E+12,grains
5.05E+12,grains
5.10E+12,grains
5.10E+12,grains
8.89E+12,grains
5.05E+12,grains
5.06E+12,grains
5.06E+12,grains
5.01E+12,grains
5.05E+12,grains
5.05E+12,grains
5.10E+12,grains
5.06E+12,grains
5.02E+12,grains
5.39E+12,grains
5.39E+12,grains
5.39E+12,grains
5.05E+12,grains
5.05E+12,grains
5.05E+12,grains
5.05E+12,grains
5.05E+12,grains
5.10E+12,grains
3015162,fruit_veg
50019946,fruit_veg
50019953,fruit_veg
50019960,fruit_veg
50020140,fruit_veg
50020287,fruit_veg
50191659,fruit_veg
50225989,fruit_veg
50980789,fruit_veg
50981120,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.03E+12,fruit_veg
5.03E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.10E+12,fruit_veg
5.10E+12,fruit_veg
5.05E+12,fruit_veg
5.01E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
50717323,fruit_veg
3015186,fruit_veg
50981137,fruit_veg
5.01E+12,fruit_veg
50020157,fruit_veg
5.00E+12,fruit_veg
5.01E+12,fruit_veg
5.05E+12,fruit_veg
5.00E+12,fruit_veg
50019977,fruit_veg
5.01E+12,fruit_veg
5.05E+12,fruit_veg
50191673,fruit_veg
5.03E+12,fruit_veg
5.10E+12,fruit_veg
5.01E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.01E+12,fruit_veg
50019984,fruit_veg
5.00E+12,fruit_veg
5.01E+12,fruit_veg
5.03E+12,fruit_veg
5.01E+12,fruit_veg
5.05E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.01E+12,fruit_veg
5.00E+12,fruit_veg
5.01E+12,fruit_veg
5.05E+12,fruit_veg
50980857,fruit_veg
50019991,fruit_veg
5.00E+12,fruit_veg
5.01E+12,fruit_veg
5.05E+12,fruit_veg
50191680,fruit_veg
5.01E+12,fruit_veg
5.05E+12,fruit_veg
5.01E+12,fruit_veg
3011300,fruit_veg
5.01E+12,fruit_veg
50981168,fruit_veg
5.00E+12,fruit_veg
5.10E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.03E+12,fruit_veg
5.03E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.01E+12,fruit_veg
5.03E+12,fruit_veg
5.10E+12,fruit_veg
5.10E+12,fruit_veg
5.10E+12,fruit_veg
5.10E+12,fruit_veg
5.10E+12,fruit_veg
5.10E+12,fruit_veg
5.10E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.10E+12,fruit_veg
50020171,fruit_veg
3011225,fruit_veg
50020065,fruit_veg
5.01E+12,fruit_veg
5.00E+12,fruit_veg
50020263,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.00E+12,fruit_veg
3011355,fruit_veg
3011362,fruit_veg
5.01E+12,fruit_veg
5.03E+12,fruit_veg
3013496,fruit_veg
5.00E+12,fruit_veg
50225514,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.05E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.03E+12,fruit_veg
5.01E+12,fruit_veg
5.00E+12,fruit_veg
50019939,fruit_veg
5.01E+12,fruit_veg
50980390,fruit_veg
50787920,fruit_veg
50981045,fruit_veg
50981250,fruit_veg
50981175,fruit_veg
5.01E+12,fruit_veg
50981281,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.05E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.01E+12,fruit_veg
50757848,fruit_veg
5.01E+12,fruit_veg
7.31E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
3011461,fruit_veg
5.03E+12,fruit_veg
5.03E+12,fruit_veg
5.03E+12,fruit_veg
5.03E+12,fruit_veg
5.05E+12,fruit_veg
3011287,fruit_veg
3011317,fruit_veg
3011294,fruit_veg
50019915,fruit_veg
5.00E+12,fruit_veg
50225279,fruit_veg
50225293,fruit_veg
50020034,fruit_veg
50020058,fruit_veg
50020270,fruit_veg
50191390,fruit_veg
50191406,fruit_veg
50191635,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
50191734,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
50020256,fruit_veg
5.00E+12,fruit_veg
7.31E+12,fruit_veg
5.00E+12,fruit_veg
5.03E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
50020041,fruit_veg
50020089,fruit_veg
50020232,fruit_veg
3015179,fruit_veg
3018675,fruit_veg
50020317,fruit_veg
50020324,fruit_veg
5.00E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.10E+12,fruit_veg
7.31E+12,fruit_veg
7.31E+12,fruit_veg
3011409,fruit_veg
7.31E+12,fruit_veg
3.17E+12,fruit_veg
5.05E+12,fruit_veg
5.00E+12,fruit_veg
3011416,fruit_veg
5.01E+12,fruit_veg
50020331,fruit_veg
3011393,fruit_veg
7.31E+12,fruit_veg
7.31E+12,fruit_veg
5.01E+12,fruit_veg
5.05E+12,fruit_veg
50020348,fruit_veg
7.31E+12,fruit_veg
50020669,fruit_veg
5.05E+12,fruit_veg
50020522,fruit_veg
3011119,fruit_veg
50020355,fruit_veg
3013519,fruit_veg
7.31E+12,fruit_veg
5.00E+12,fruit_veg
5.05E+12,fruit_veg
5.00E+12,fruit_veg
50993970,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
7.31E+12,fruit_veg
5.01E+12,fruit_veg
3.17E+12,fruit_veg
5.01E+12,fruit_veg
5.01E+12,fruit_veg
5.00E+12,fruit_veg
7.31E+12,fruit_veg
7.31E+12,fruit_veg
7.31E+12,fruit_veg
5.05E+12,fruit_veg
5.01E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
7.31E+12,fruit_veg
7.31E+12,fruit_veg
7.31E+12,fruit_veg
5.00E+12,fruit_veg
50225569,fruit_veg
5.00E+12,fruit_veg
5.00E+12,fruit_veg
3015155,fruit_veg
3016763,fish
3248980,fish
3249000,fish
3249017,fish
50171026,fish
96069813,fish
96075098,fish
3.26E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.01E+12,fish
5.05E+12,fish
5.05E+12,fish
5.05E+12,fish
5.05E+12,fish
5.39E+12,fish
5.39E+12,fish
5.00E+12,fish
5.00E+12,fish
50171675,fish
5.00E+12,fish
5.00E+12,fish
5.03E+12,fish
3051634,fish
5.00E+12,fish
8.88E+12,fish
5.01E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.01E+12,fish
5.00E+12,fish
5.05E+12,fish
5.05E+12,fish
5.01E+12,fish
5.00E+12,fish
50171545,fish
5.00E+12,fish
5.01E+12,fish
5.01E+12,fish
50171378,fish
5.00E+12,fish
5.10E+12,fish
5.00E+12,fish
5.01E+12,fish
5.00E+12,fish
5.01E+12,fish
5.00E+12,fish
5.00E+12,fish
5.05E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.39E+12,fish
8.89E+12,fish
5.00E+12,fish
5.01E+12,fish
5.01E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
96139905,fish
96139912,fish
96139899,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.05E+12,fish
5.03E+12,fish
5.00E+12,fish
5.00E+12,fish
96069837,fish
5.00E+12,fish
3016756,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
96068878,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.05E+12,fish
5.00E+12,fish
5.05E+12,fish
5.00E+12,fish
5.01E+12,fish
5.01E+12,fish
5.01E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.05E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.05E+12,fish
96069936,fish
5.00E+12,fish
5.05E+12,fish
3054772,fish
5.01E+12,fish
5.01E+12,fish
5.01E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
96075104,fish
96075111,fish
96075128,fish
5.00E+12,fish
5.00E+12,fish
5.01E+12,fish
5.05E+12,fish
5.01E+12,fish
3016930,fish
50232482,fish
5.00E+12,fish
5.00E+12,fish
5.01E+12,fish
5.01E+12,fish
5.02E+12,fish
5.05E+12,fish
5.05E+12,fish
5.05E+12,fish
5.10E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.39E+12,fish
96139790,fish
4.02E+12,fish
5.39E+12,fish
5.10E+12,fish
5.10E+12,fish
5.10E+12,fish
50171262,fish
5.00E+12,fish
5.01E+12,fish
5.01E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
96074442,fish
96074435,fish
5.00E+12,fish
5.00E+12,fish
50996551,fish
5.39E+12,fish
50171057,fish
5.00E+12,fish
5.00E+12,fish
5.02E+12,fish
3016916,fish
3249338,fish
5.05E+12,fish
50119004,fish
50119011,fish
50171699,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
5.00E+12,fish
3016954,dairy
8.00E+12,dairy
5.05E+12,dairy
5.05E+12,dairy
5.01E+12,dairy
5.01E+12,dairy
5.02E+12,dairy
5.00E+12,dairy
3056370,dairy
5.76E+12,dairy
5.05E+12,dairy
8.00E+12,dairy
8.00E+12,dairy
5.01E+12,dairy
5.05E+12,dairy
5.03E+12,dairy
5.02E+12,dairy
3017272,fruit_veg
10009123,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
10028537,fruit_veg
3244425,fruit_veg
3244395,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
10061282,fruit_veg
5.00E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
10065716,fruit_veg
10004647,fruit_veg
5.05E+12,fruit_veg
10065907,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
7.29E+12,fruit_veg
7.29E+12,fruit_veg
5.05E+12,fruit_veg
10004661,fruit_veg
5.05E+12,fruit_veg
3244401,fruit_veg
10061299,fruit_veg
10065921,fruit_veg
7.29E+12,fruit_veg
7.29E+12,fruit_veg
10066980,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
10049464,fruit_veg
10094969,fruit_veg
5.05E+12,fruit_veg
5.05E+12,fruit_veg
10065198,fruit_veg
10065884,fruit_veg
10000045,fruit_veg
10000069,fruit_veg
10009390,fruit_veg
10009406,fruit_veg
10009413,fruit_veg
5.05E+12,fruit_veg
10009437,fruit_veg
10009444,fruit_veg
5.05E+12,fruit_veg
3017432,grains
5.00E+12,grains
5.01E+12,grains
5.05E+12,grains
8.08E+12,grains
5.39E+12,grains
5.00E+12,grains
5.05E+12,grains
5.39E+12,grains
5.02E+12,grains
8.03E+12,grains
5.05E+12,grains
5.00E+12,grains
5.00E+12,grains
8.08E+12,grains
5.05E+12,grains
5.00E+12,grains
5.00E+12,grains
5.00E+12,grains
5.05E+12,grains
5.00E+12,grains
5.01E+12,grains
5.06E+12,grains
5.00E+12,grains
5.00E+12,grains
8.03E+12,grains
5.00E+12,grains
5.01E+12,grains
5.01E+12,grains
5.01E+12,grains
5.01E+12,grains
8.00E+12,grains
8.00E+12,grains
8.03E+12,grains
8.08E+12,grains
5.06E+12,grains
3017883,readymade
3026304,readymade
3035498,readymade
3035511,readymade
3054130,readymade
3055533,readymade
3056943,readymade
3060933,readymade
3224533,readymade
3224540,readymade
3224724,readymade
3231869,readymade
3236116,readymade
3236277,readymade
3236468,readymade
3245828,readymade
3245835,readymade
3252161,readymade
3252178,readymade
3252321,readymade
3263303,readymade
3271100,readymade
50436767,readymade
5.05E+12,readymade
5.05E+12,readymade
5.05E+12,readymade
3252338,readymade
5.05E+12,readymade
3201725,readymade
3222966,readymade
3022177,readymade
3048214,readymade
3236130,readymade
5.05E+12,readymade
3057575,readymade
5.05E+12,readymade
3236284,readymade
3245811,readymade
3054116,readymade
3241554,readymade
3038536,readymade
3064436,readymade
3263310,readymade
3258705,readymade
3223697,readymade
3057582,readymade
3261798,readymade
3231241,readymade
3236475,readymade
3223680,readymade
3061602,readymade
5.05E+12,readymade
3252185,readymade
3258712,readymade
3057124,readymade
3241561,readymade
5.05E+12,readymade
3224571,readymade
3246795,readymade
3228678,readymade
3252222,readymade
3058732,readymade
3203156,readymade
3225059,readymade
3241264,readymade
3236338,readymade
3064450,readymade
3236161,readymade
3241608,readymade
3222683,readymade
5.05E+12,readymade
3061756,readymade
3258729,readymade
3224441,readymade
3252239,readymade
3252192,readymade
5.05E+12,readymade
3203507,readymade
3241615,readymade
3245781,readymade
5.05E+12,readymade
5.06E+12,readymade
5.06E+12,readymade
3061633,readymade
5.05E+12,readymade
3225127,readymade
3225134,readymade
50436040,readymade
3225165,readymade
3225233,readymade
5.05E+12,readymade
3060520,readymade
5.05E+12,readymade
3044186,readymade
3254851,readymade
3254868,readymade
3252147,readymade
3252154,readymade
3252246,readymade
3252253,readymade
3252260,readymade
3252277,readymade
3252284,readymade
3252291,readymade
3252307,readymade
3252314,readymade
3054901,readymade
5.05E+12,readymade
3063095,readymade
5.05E+12,readymade
3058275,readymade
5.05E+12,readymade
3056226,readymade
3056233,readymade
3056240,readymade
3224472,readymade
3258736,readymade
3224632,readymade
3232224,readymade
3203163,readymade
3222942,readymade
3236185,readymade
3236215,readymade
3236222,readymade
3236246,readymade
96028872,readymade
3062265,readymade
3061831,readymade
5.05E+12,readymade
3042168,readymade
3038550,readymade
3038581,readymade
5.05E+12,readymade
3203477,readymade
3224960,readymade
3001011,readymade
3000984,readymade
3057537,readymade
3057544,readymade
5.05E+12,readymade
5.05E+12,readymade
5.05E+12,readymade
5.05E+12,readymade
5.05E+12,readymade
3060735,readymade
3228647,readymade
5.05E+12,readymade
5.06E+12,readymade
3055502,readymade
3055519,readymade
3055526,readymade
3231173,readymade
3018828,readymade
3018781,readymade
3231210,readymade
3238936,readymade
3231289,readymade
3234785,readymade
3231326,readymade
3231333,readymade
3201701,readymade
3236369,readymade
3236413,readymade
3236444,readymade
3236567,readymade
3236574,readymade
3236581,readymade
3236666,readymade
3236697,readymade
3018590,readymade
5.06E+12,readymade
3245774,readymade
3245804,readymade
3232279,readymade
3232316,readymade
3340257,readymade
3052112,readymade
3046579,readymade
5.05E+12,readymade
3263372,readymade
3057810,readymade
3057827,readymade
3057834,readymade
3034316,readymade
3241486,readymade
3236727,readymade
3241585,readymade
3241592,readymade
3241622,readymade
3241660,readymade
3270691,readymade
3270714,readymade
3269022,readymade
3269039,readymade
3225066,readymade
3028193,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.01E+12,fats_oils
5.03E+12,fats_oils
5.05E+12,fats_oils
5.05E+12,fats_oils
5.05E+12,fats_oils
5.05E+12,fats_oils
5.05E+12,fats_oils
5.10E+12,fats_oils
5.10E+12,fats_oils
7.51E+12,fats_oils
8.71E+12,fats_oils
8.71E+12,fats_oils
5.01E+12,fats_oils
5.10E+12,fats_oils
5.10E+12,fats_oils
5.00E+12,fats_oils
8.71E+12,fats_oils
5.00E+12,fats_oils
5.05E+12,fats_oils
5.00E+12,fats_oils
5.01E+12,fats_oils
5.05E+12,fats_oils
5.10E+12,fats_oils
5.39E+12,fats_oils
5.02E+12,fats_oils
5.05E+12,fats_oils
5.05E+12,fats_oils
5.05E+12,fats_oils
5.01E+12,fats_oils
43647300065,fats_oils
5.01E+12,fats_oils
5.05E+12,fats_oils
5.05E+12,fats_oils
5.10E+12,fats_oils
5.10E+12,fats_oils
5.05E+12,fats_oils
5.03E+12,fats_oils
8.71E+12,fats_oils
5.01E+12,fats_oils
5.01E+12,fats_oils
5.00E+12,fats_oils
8.71E+12,fats_oils
5.00E+12,fats_oils
5.00E+12,fats_oils
5.05E+12,fats_oils
5.00E+12,fats_oils
5.05E+12,fats_oils
5.05E+12,fats_oils
5.01E+12,fats_oils
5.10E+12,fats_oils
5.01E+12,fats_oils
8.71E+12,fats_oils
5.01E+12,fats_oils
5.39E+12,fats_oils
5.05E+12,fats_oils
5.00E+12,fats_oils
5.06E+12,fats_oils
